ItemKey,author,booktitle,title,year,volume,number,pages,abstract,keywords,doi,ISSN,month,status,PublicationDate,city,country,journal,url,publisher
8168172,K. Elkhalil and A. Kammoun and R. Couillet and T. Y. Al-Naffouri and M. S. Alouini,2017 IEEE 27th International Workshop on Machine Learning for Signal Processing (MLSP),Asymptotic performance of regularized quadratic discriminant analysis based classifiers,2017,,,1-6,"This paper carries out a large dimensional analysis of the standard regularized quadratic discriminant analysis (QDA) classifier designed on the assumption that data arise from a Gaussian mixture model. The analysis relies on fundamental results from random matrix theory (RMT) when both the number of features and the cardinality of the training data within each class grow large at the same pace. Under some mild assumptions, we show that the asymptotic classification error converges to a deterministic quantity that depends only on the covariances and means associated with each class as well as the problem dimensions. Such a result permits a better understanding of the performance of regularized QDA and can be used to determine the optimal regularization parameter that minimizes the misclassification error probability. Despite being valid only for Gaussian data, our theoretical findings are shown to yield a high accuracy in predicting the performances achieved with real data sets drawn from popular real data bases, thereby making an interesting connection between theory and practice.",Gaussian processes;feature extraction;matrix algebra;optimisation;pattern classification;probability;Gaussian mixture model;RMT;asymptotic classification error;asymptotic performance;dimensional analysis;misclassification error probability;optimal regularization parameter;random matrix theory;regularized QDA;regularized quadratic discriminant analysis based classifiers;training data;Convergence;Covariance matrices;Error analysis;Gaussian distribution;Random variables;Standards;Training;QDA;classification;deterministic equivalent;machine learning;random matrix theory,10.1109/MLSP.2017.8168172,,Jan,Published,2017-01-01 00:00:00
7178352,S. A. W. Shah and K. Abed-Meraim and T. Y. Al-Naffouri,"2015 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",Multi-Modulus algorithms using hyperbolic and givens rotations for blind deconvolution of mimo systems,2015,,,2155-2159,"The issue of blind Multiple-Input and Multiple-Output (MIMO) deconvolution of communication system is addressed. Two new iterative Blind Source Separation (BSS) algorithmsare presented, based on the minimization of Multi-Modulus (MM) criterion. A pre-whitening filter is utilized to transform the problem into finding a unitary beamformer matrix. Then,applying iterative Givens and Hyperbolic rotations results in Givens Multi-modulus Algorithm (G-MMA) and Hyperbolic G-MMA (HG-MMA), respectively. Proposed algorithms are compared withseveral BSS algorithms in terms of Signal to Interference and Noise Ratio (SINR) and Symbol Error Rate (SER) and it was shown to outperform them.",MIMO communication;array signal processing;blind source separation;deconvolution;error statistics;filtering theory;hyperbolic equations;iterative methods;minimisation;Givensmultimodulus algorithm;HG-MMA;MIMO system;SER;SINR;blind deconvolution;hyberbolic rotation;hyperbolic G-MMA;iterative BSS algorithm;iterative Givens rotations;iterative blind sourceseparation;multimodulus criterion minimization;multiple input multiple output;prewhitening filter;signal to interference and noise ratio;symbol error rate;unitary beamformermatrix;Deconvolution;Jacobian matrices;Signal to noise ratio;Givens and Hyperbolic rotations;blind source separation;constant modulus algorithm;multi-modulus algorithm,10.1109/ICASSP.2015.7178352,1520-6149,Jan,Published,2015-01-01 00:00:00
7394419,S. Al-Shuhail and A. Ali and T. AlNaffouri,2015 IEEE International Symposium on Signal Processing and Information Technology (ISSPIT),Peak-to-average power ratio reduction in interleaved OFDMA systems,2015,,,658-662,"Orthogonal frequency division multiple access (OFDMA) systems suffer from several impairments, and communication system engineers use powerful signal processing tools to combat these impairments and to keep up with the capacity/rate demands. One of these impairments is high peak-to-average power ratio (PAPR) and clipping is the simplest peak reduction scheme. However, in general, when multiple users are subjected to clipping, frequency domain clipping distortions spread over the spectrum of all users. This results in compromised performance and hence clipping distortions need to be mitigated at the receiver. Mitigating these distortions in multiuser case is not simple and requires complex clipping mitigation procedures at the receiver. However, it was observed that interleaved OFDMA presents a special structure that results in only self-inflicted clipping distortions (i.e., the distortions of a particular user do not interfere with other users). In this work, we prove analytically that distortions do not spread over multiple users (while utilizing interleaved carrier assignment in OFDMA) and construct a compressed sensing system that utilizes the sparsity of the clipping distortions and recovers it on each user. We provide numerical results that validate our analysis and show promising performance for the proposed clipping recovery scheme.",OFDM modulation;compressed sensing;distortion;frequency division multiple access;frequency-domain analysis;PAPR;compressed sensing system;frequency domain clipping distortions;interleaved OFDMA systems;orthogonal frequency division multiple access system;peak-to-average power ratio reduction scheme;self-inflicted clipping distortions;signal processing tools;Frequency-domain analysis;Nonlinear distortion;Peak to average power ratio;Receivers;Resource management;Time-domain analysis;Compressed Sensing;Interleaved OFDMA;Nonlinear Distortions;PAPR Reduction,10.1109/ISSPIT.2015.7394419,,Jan,Published,2015-01-01 00:00:00
Alrashdi2017Precise,Ayed Alrashdi and Ismail Ben AtitallahIsmail and and Tareq Y. Al-Naffouri and and Mohamed-Slim Alouini,5th IEEE Global Conference on Signal and Information Processing (GlobalSip 2017),Precise Performance analysis of the LASSO under Matrix Uncertainty,2017,,,,,,,,Jan,Published,2017-01-01 00:00:00
Ballal2017Near,Tarig Ballal and Mohamed Suliman and Tareq Y. AlNaffouri,5th IEEE Global Conference on Signal and Information Processing (GlobalSip 2017),Near-optimal parameter selection methods for l2 regularization,2017,,,,"This paper focuses on the problem of selecting the regularization parameter for linear least-squares estimation. Usually, the problem is formulated as a minimization problem with a cost function consisting of the square sum of the l 2 norm of the residual error, plus a penalty term of the squared norm of the solution multiplied by a constant. The penalty term has the effect of shrinking the solution towards the origin with magnitude that depends on the value of the penalty constant. By considering both squared and non-squared norms of the residual error and the solution, four different cost functions can be formed to achieve the same goal. In this paper, we show that all the four cost functions lead to the same closed-form solution involving a regularization parameter, which is related to the penalty constant through a different constraint equation for each cost function. We show that for three of the cost functions, a specific procedure can be applied to combine the constraint equation with the mean squared error (MSE) criterion to develop approximately optimal regularization parameter selection algorithms. Performance of the developed algorithms is compared to existing methods to show that the proposed algorithms stay closest to the optimal MSE.",,,,Jan,Published,2017-01-01 00:00:00
Suliman2018Robust,M. A. Suliman and H. Sifaou and T. Ballal and M. -S. Alouini and T. Y. Al-Naffouri,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)",Robust Estimation in Linear Ill-posed Problems with Adaptive Regularization Schem,2018,,,,,,,,Jan,Published,2018-01-01 00:00:00
Emara2017Optimal,Mostafa Emara and Hesham Elsawy and Sameh Sorour and Samir Al-Ghadhban and Mohamed-Slim Alouini and Tareq Y. Al-Naffouri,IEEE Global Communications Conference GLOBECOM 2017,Optimal Caching in Multicast 5G Networks with Opportunistic Spectrum Access,2017,,,,,,,,Jan,Published,2017-01-01 00:00:00
Shnaiwer2017Online,"Y. Shnaiwer and S. Sorour and P. Sadeghi and T.Y. Al-Naffouri, ",IEEE Vehicular Technology Conference (VTC’17-Fall),Online Cloud Offloading using Heterogenous Enhanced Remote Radio Heads,2017,,,,,,,,Jan,Published,2017-01-01 00:00:00
Eltayeb2016Compressive,Mohammed Eltayeb and Tareq Al-Naffouri and Robert Heath,IEEE Global Communications Conference (GLOBECOM),Compressive Sensing for Vehicular Millimeter Wave Antenna Array Diagnosis,2016,,,,,,,,Jan,Published,2016-01-01 00:00:00
Douik2015Delay,A. Douik and S. Sorour and T.Y. Al-Naffouri and H.C. Yang and M.S. Alouini,IEEE International Symposium on Network Coding (NetCod'15),Delay Reduction with Interference-less Cooperation Between Users Using Network Coding,2015,,,,,,,,Jan,Published,2015-01-01 00:00:00
Sayed2001,A. H. Sayed and T. Y. Al-Naffouri ,IEEE-EURASIP Workshop on Nonlinear Signal and Image Processing,Mean-square analysis of adaptive filters– Part II: The error nonlinearity case,2001,,,,,,,,Jan,Published,2001-01-01 00:00:00,Baltimore,USA
T.Y.Al-Naffouri2000,T. Y. Al-Naffouri and Ali H. Sayed ,,An adaptive filter robust to data uncertainties,2000,2,,1175--1183,"This paper considers the problem of adaptive filtering in the presence of uncertainties in the regression data. A recursive procedure is derived that is based on solving local optimization problems that attempt to alleviate the worst-case effect of data uncertainties on filter performance. The resulting procedure turns out to have similarities with leakage-based adaptive filters. 1 Introduction In real applications there are always discrepancies between an assumed model and the actual data. Such discrepancies or data uncertainties can be due to several factors such as unmodeled dynamics, disturbances, simplifications during the modeling phase, or even finite precision effects. In this paper, we focus on uncertainties in the regression data in the context of adaptive filtering. In particular, we suggest a procedure that attempts to alleviate the worst-case effect of the uncertainties on filter performance. The resulting algorithm includes leakage and has connections with leaky-LMS.",,,,Jan,Published,2000-01-01 00:00:00,,,"Proceedings of the Allerton Conference on Communication, Control and Computing",https://infoscience.epfl.ch/record/233418
